"Group","Variable","Units","Description"
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PUMP SWITCH EX1:1", "bool", "Equivalent to GENERAL ENG FUEL PUMP SWITCH but differentiates between ON and AUTO"
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PUMP SWITCH EX1:2", "bool", "Equivalent to GENERAL ENG FUEL PUMP SWITCH but differentiates between ON and AUTO"
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PUMP SWITCH EX1:3", "bool", "Equivalent to GENERAL ENG FUEL PUMP SWITCH but differentiates between ON and AUTO"
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PUMP SWITCH EX1:4", "bool", "Equivalent to GENERAL ENG FUEL PUMP SWITCH but differentiates between ON and AUTO"
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL USED SINCE START:1", "pounds", "Fuel used since the indexed engine (see note) was last started."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL USED SINCE START:2", "pounds", "Fuel used since the indexed engine (see note) was last started."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL USED SINCE START:3", "pounds", "Fuel used since the indexed engine (see note) was last started."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL USED SINCE START:4", "pounds", "Fuel used since the indexed engine (see note) was last started."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL VALVE:1", "bool", "Fuel valve state for the indexed engine (see note). If 0 (FALSE) then the valve is closed and if 1 (TRUE) then it is open."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL VALVE:2", "bool", "Fuel valve state for the indexed engine (see note). If 0 (FALSE) then the valve is closed and if 1 (TRUE) then it is open."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL VALVE:3", "bool", "Fuel valve state for the indexed engine (see note). If 0 (FALSE) then the valve is closed and if 1 (TRUE) then it is open."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL VALVE:4", "bool", "Fuel valve state for the indexed engine (see note). If 0 (FALSE) then the valve is closed and if 1 (TRUE) then it is open."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG GENERATOR ACTIVE:1", "bool", "Settable alternator (generator) on/off switch for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG GENERATOR ACTIVE:2", "bool", "Settable alternator (generator) on/off switch for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG GENERATOR ACTIVE:3", "bool", "Settable alternator (generator) on/off switch for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG GENERATOR ACTIVE:4", "bool", "Settable alternator (generator) on/off switch for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG GENERATOR SWITCH:1", "bool", "Alternator (generator) on/off switch state for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG GENERATOR SWITCH:2", "bool", "Alternator (generator) on/off switch state for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG GENERATOR SWITCH:3", "bool", "Alternator (generator) on/off switch state for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG GENERATOR SWITCH:4", "bool", "Alternator (generator) on/off switch state for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG HOBBS ELAPSED TIME:1", "seconds", "This can be used to find the time since the indexed engine (see note) started running. Similar to ElapsedTachometerTime, this records the time the engine has been running, but instead of taking a % of the time based on the Pct/RPM this takes the full time, but only if a threshold RPM/speed is reached. You can set the thresholds using the accumulated_time_hobbs_min_pct_rpm and accumulated_time_hobbs_min_knots parameters in the [GENERALENGINEDATA] section of the engine.cfg file."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG HOBBS ELAPSED TIME:2", "seconds", "This can be used to find the time since the indexed engine (see note) started running. Similar to ElapsedTachometerTime, this records the time the engine has been running, but instead of taking a % of the time based on the Pct/RPM this takes the full time, but only if a threshold RPM/speed is reached. You can set the thresholds using the accumulated_time_hobbs_min_pct_rpm and accumulated_time_hobbs_min_knots parameters in the [GENERALENGINEDATA] section of the engine.cfg file."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG HOBBS ELAPSED TIME:3", "seconds", "This can be used to find the time since the indexed engine (see note) started running. Similar to ElapsedTachometerTime, this records the time the engine has been running, but instead of taking a % of the time based on the Pct/RPM this takes the full time, but only if a threshold RPM/speed is reached. You can set the thresholds using the accumulated_time_hobbs_min_pct_rpm and accumulated_time_hobbs_min_knots parameters in the [GENERALENGINEDATA] section of the engine.cfg file."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG HOBBS ELAPSED TIME:4", "seconds", "This can be used to find the time since the indexed engine (see note) started running. Similar to ElapsedTachometerTime, this records the time the engine has been running, but instead of taking a % of the time based on the Pct/RPM this takes the full time, but only if a threshold RPM/speed is reached. You can set the thresholds using the accumulated_time_hobbs_min_pct_rpm and accumulated_time_hobbs_min_knots parameters in the [GENERALENGINEDATA] section of the engine.cfg file."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG MAX REACHED RPM:1", "number", "Maximum attained rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG MAX REACHED RPM:2", "number", "Maximum attained rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG MAX REACHED RPM:3", "number", "Maximum attained rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG MAX REACHED RPM:4", "number", "Maximum attained rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG MIXTURE LEVER POSITION:1", "percent", "Percent of max mixture lever position for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG MIXTURE LEVER POSITION:2", "percent", "Percent of max mixture lever position for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG MIXTURE LEVER POSITION:3", "percent", "Percent of max mixture lever position for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG MIXTURE LEVER POSITION:4", "percent", "Percent of max mixture lever position for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG OIL LEAKED PERCENT:1", "percent", "Percent of max oil capacity leaked for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG OIL LEAKED PERCENT:2", "percent", "Percent of max oil capacity leaked for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG OIL LEAKED PERCENT:3", "percent", "Percent of max oil capacity leaked for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG OIL LEAKED PERCENT:4", "percent", "Percent of max oil capacity leaked for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG OIL PRESSURE:1", "psi", "The indexed engine (see note) oil pressure."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG OIL PRESSURE:2", "psi", "The indexed engine (see note) oil pressure."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG OIL PRESSURE:3", "psi", "The indexed engine (see note) oil pressure."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG OIL PRESSURE:4", "psi", "The indexed engine (see note) oil pressure."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG OIL TEMPERATURE:1", "rankine", "The indexed engine (see note) oil temperature."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG OIL TEMPERATURE:2", "rankine", "The indexed engine (see note) oil temperature."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG OIL TEMPERATURE:3", "rankine", "The indexed engine (see note) oil temperature."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG OIL TEMPERATURE:4", "rankine", "The indexed engine (see note) oil temperature."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG PCT MAX RPM:1", "percent", "Percent of max rated rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG PCT MAX RPM:2", "percent", "Percent of max rated rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG PCT MAX RPM:3", "percent", "Percent of max rated rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG PCT MAX RPM:4", "percent", "Percent of max rated rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG PROPELLER LEVER POSITION:1", "percent", "Percent of max prop lever position for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG PROPELLER LEVER POSITION:2", "percent", "Percent of max prop lever position for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG PROPELLER LEVER POSITION:3", "percent", "Percent of max prop lever position for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG PROPELLER LEVER POSITION:4", "percent", "Percent of max prop lever position for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG RPM:1", "number", "The RPM for an indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG RPM:2", "number", "The RPM for an indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG RPM:3", "number", "The RPM for an indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG RPM:4", "number", "The RPM for an indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG STARTER:1", "bool", "The indexed engine (see note) starter on/off state."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG STARTER:2", "bool", "The indexed engine (see note) starter on/off state."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG STARTER:3", "bool", "The indexed engine (see note) starter on/off state."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG STARTER:4", "bool", "The indexed engine (see note) starter on/off state."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG STARTER ACTIVE:1", "bool", "True if the indexed engine (see note) starter is active."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG STARTER ACTIVE:2", "bool", "True if the indexed engine (see note) starter is active."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG STARTER ACTIVE:3", "bool", "True if the indexed engine (see note) starter is active."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG STARTER ACTIVE:4", "bool", "True if the indexed engine (see note) starter is active."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG THROTTLE LEVER POSITION:1", "percent", "Percent of max throttle position for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG THROTTLE LEVER POSITION:2", "percent", "Percent of max throttle position for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG THROTTLE LEVER POSITION:3", "percent", "Percent of max throttle position for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG THROTTLE LEVER POSITION:4", "percent", "Percent of max throttle position for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG THROTTLE MANAGED MODE:1", "number", "Current mode of the managed throttle for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG THROTTLE MANAGED MODE:2", "number", "Current mode of the managed throttle for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG THROTTLE MANAGED MODE:3", "number", "Current mode of the managed throttle for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG THROTTLE MANAGED MODE:4", "number", "Current mode of the managed throttle for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "MAX RATED ENGINE RPM", "number", "Maximum rated rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "MASTER IGNITION SWITCH", "bool", "Aircraft master ignition switch (grounds all engines magnetos)."
"AIRCRAFT ENGINE VARIABLES", "NUMBER OF ENGINES", "number", "Number of engines (minimum 0, maximum 4)"
"AIRCRAFT ENGINE VARIABLES", "PANEL AUTO FEATHER SWITCH:1", "bool", "Auto-feather arming switch for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PANEL AUTO FEATHER SWITCH:2", "bool", "Auto-feather arming switch for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PANEL AUTO FEATHER SWITCH:3", "bool", "Auto-feather arming switch for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PANEL AUTO FEATHER SWITCH:4", "bool", "Auto-feather arming switch for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP AUTO CRUISE ACTIVE", "bool", "True if prop auto cruise active"
"AIRCRAFT ENGINE VARIABLES", "PROP AUTO FEATHER ARMED:1", "bool", "Auto-feather armed state for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP AUTO FEATHER ARMED:2", "bool", "Auto-feather armed state for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP AUTO FEATHER ARMED:3", "bool", "Auto-feather armed state for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP AUTO FEATHER ARMED:4", "bool", "Auto-feather armed state for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP BETA:1", "radians", "The \"prop beta\" is the pitch of the blades of the propeller, and this can be used to retrieve the current pitch setting, per indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP BETA:2", "radians", "The \"prop beta\" is the pitch of the blades of the propeller, and this can be used to retrieve the current pitch setting, per indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP BETA:3", "radians", "The \"prop beta\" is the pitch of the blades of the propeller, and this can be used to retrieve the current pitch setting, per indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP BETA:4", "radians", "The \"prop beta\" is the pitch of the blades of the propeller, and this can be used to retrieve the current pitch setting, per indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP BETA MAX", "radians", "The \"prop beta\" is the pitch of the blades of the propeller. This retrieves the maximum possible pitch value for all engines."
"AIRCRAFT ENGINE VARIABLES", "PROP BETA MIN", "radians", "The \"prop beta\" is the pitch of the blades of the propeller. This retrieves the minimum possible pitch value for all engines."
"AIRCRAFT ENGINE VARIABLES", "PROP BETA MIN REVERSE", "radians", "The \"prop beta\" is the pitch of the blades of the propeller. This retrieves the minimum possible pitch value when the propeller is in reverse for all engines."
"AIRCRAFT ENGINE VARIABLES", "PROP DEICE SWITCH:1", "bool", "True if prop deice switch on for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP DEICE SWITCH:2", "bool", "True if prop deice switch on for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP DEICE SWITCH:3", "bool", "True if prop deice switch on for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP DEICE SWITCH:4", "bool", "True if prop deice switch on for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP FEATHERED:1", "bool", "This will return the feathered state of the propeller for an indexed engine (see note). The state is either feathered (true) or not (false)."
"AIRCRAFT ENGINE VARIABLES", "PROP FEATHERED:2", "bool", "This will return the feathered state of the propeller for an indexed engine (see note). The state is either feathered (true) or not (false)."
"AIRCRAFT ENGINE VARIABLES", "PROP FEATHERED:3", "bool", "This will return the feathered state of the propeller for an indexed engine (see note). The state is either feathered (true) or not (false)."
"AIRCRAFT ENGINE VARIABLES", "PROP FEATHERED:4", "bool", "This will return the feathered state of the propeller for an indexed engine (see note). The state is either feathered (true) or not (false)."
"AIRCRAFT ENGINE VARIABLES", "PROP FEATHERING INHIBIT:1", "bool", "Feathering inhibit flag for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP FEATHERING INHIBIT:2", "bool", "Feathering inhibit flag for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP FEATHERING INHIBIT:3", "bool", "Feathering inhibit flag for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP FEATHERING INHIBIT:4", "bool", "Feathering inhibit flag for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP FEATHER SWITCH:1", "bool", "Prop feather switch for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP FEATHER SWITCH:2", "bool", "Prop feather switch for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP FEATHER SWITCH:3", "bool", "Prop feather switch for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP FEATHER SWITCH:4", "bool", "Prop feather switch for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP MAX RPM PERCENT:1", "percent", "Percent of max rated rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP MAX RPM PERCENT:2", "percent", "Percent of max rated rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP MAX RPM PERCENT:3", "percent", "Percent of max rated rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP MAX RPM PERCENT:4", "percent", "Percent of max rated rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP ROTATION ANGLE", "radians", "Prop rotation angle."
"AIRCRAFT ENGINE VARIABLES", "PROP RPM:1", "number", "Propeller rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP RPM:2", "number", "Propeller rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP RPM:3", "number", "Propeller rpm for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "PROP RPM:4", "number", "Propeller rpm for the indexed engine (see note)."
